,x,y
0,<user> i know i was listenin to bad habit earlier and i started freakin at his part =[,noemo
1,layin n bed with a headache ughhhh...waitin on your call...,sadness
2,funeral ceremony...gloomy friday...,sadness
3,wants to hang out with friends soon!,joy
4,"<user> we want to trade with someone who has houston tickets, but no one will.",noemo
5,re-pinging <user> why didn't you go to prom? bc my bf didn't like my friends,fear
6,"i should be sleep, but im not! thinking about an old friend who i want. but he's married now. damn, &amp; he wants me 2! scandalous!",sadness
7,hmmm. <url> is down,fear
8,<user> charlene my love. i miss you,sadness
9,<user> i'm sorry at least it's friday?,sadness
10,cant fall asleep,noemo
11,choked on her retainers,fear
12,ugh! i have to beat this stupid song to get to the next rude!,sadness
13,<user> if u watch the hills in london u will realise what tourture it is because were weeks and weeks late i just watch itonlinelol,sadness
14,got the news,surprise
15,the storm is here and the electricity is gone,sadness
16,<user> agreed,love
17,so sleepy again and it's not even that late. i fail once again.,sadness
18,<user> lady gaga tweeted about not being impressed by her video leaking just so you know,fear
19,how are you convinced that i have always wanted you? what signals did i give off...damn i think i just lost another friend,sadness
20,<user> oh too bad! i hope it gets better. i've been having sleep issues lately too,fear
21,"wondering why i'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",joy
22,no topic maps talks at the balisage markup conference 2009 program online at <url> (via <user> #topicmaps,noemo
23,i ate something i don't know what it is... why do i keep telling things about food,fear
24,so tired and i think i'm definitely going to get an ear infection. going to bed &quot;early&quot; for once.,sadness
25,on my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,fear
26,"<user> i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",sadness
27,damm servers still down i need to hit 80 before all the koxpers pass me,fear
28,fudge.... just bs'd that whole paper.... so tired.... ugh i hate school..... time to sleep!!!!!!!!!!!,sadness
29,i hate cancer. i hate it i hate it i hate it.,fear
30,it is so annoying when she starts typing on her computer in the middle of the night!,anger
31,<user> i cant sleep,noemo
32,i missed the bl***y bus!!!!!!!!,noemo
33,feels strong contractions but wants to go out. <url>,noemo
34,socal! stoked. or maybe not.. tomorrow,noemo
35,screw you <user> i only have 3 weeks...,noemo
36,<user> yeah :s i feel all funny cause i haven't slept enough i woke my mum up cause i was singing she's not impressed :s you?,sadness
37,i need skott right now,fear
38,has work this afternoon,noemo
39,<user> aw you would not unfollow me would you? then i would cry,noemo
40,mmm much better day... so far! it's still quite early. last day of #uds,joy
41,<user> &lt;3 your gonna be the first twitter ;) cause your amazing lol. come to canada would do anything to see you perform,joy
42,just picked up her blackberry from the middle of the street! both she and it are crushed!,fear
43,why do i have the feeling i should be packing and hitting for sfo around this time of the year? i think i'm missing something...,fear
44,<user> middle school and elem. high schools will remain open for those who need credits to graduate. cali is broken,noemo
45,"bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",fear
46,"<user> ahh. ... well, i was hoping that i could learn some stuff on the way. ... why not you and i work on separate things but also",fear
47,i'm having a problem with my photo here in twitter amf!!!...can't see my face!,sadness
